well_id,well_type,Log_Date_Time,FTHP,CHP,ABP,FLT,Battery_Voltage
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:40:41,62.28,63.35,49.56,30.42,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:41:33,61.96,63.18,49.89,30.57,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:42:16,61.31,66.59,49.2,30.8,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:43:51,60.89,64.73,50.2,29.39,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:44:44,61.11,64.86,50.01,30.25,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:45:28,61.68,65.27,48.96,29.35,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:46:19,60.62,65.47,49.58,29.46,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:47:03,60.49,63.05,49.41,30.41,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:48:38,62.37,64.24,49.57,29.54,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:49:30,60.71,64.4,49.64,29.64,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:50:13,61.07,65.1,48.94,30.06,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:51:49,61.5,63.31,49.65,29.05,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:52:41,61.32,63.48,49.37,29.46,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:53:25,61.18,65.95,49.52,29.57,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:54:16,61.32,65.78,49.37,30.39,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:55:00,61.67,65.91,49.04,29.8,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:56:35,60.78,67.56,49.91,29.77,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:57:27,60.98,67.0,49.74,29.64,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:58:10,61.2,66.67,49.87,30.51,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:59:46,61.33,65.51,49.69,30.69,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:00:38,61.08,65.24,49.61,30.8,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:01:21,61.35,66.9,49.44,30.03,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:02:57,60.47,64.82,49.46,31.05,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:03:48,60.77,65.01,49.74,29.32,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:04:32,61.07,65.77,49.22,30.67,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:05:24,60.47,65.47,49.09,30.76,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:06:08,60.76,65.19,48.94,30.87,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:07:42,61.26,66.86,49.56,29.58,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:08:35,61.02,65.39,50.01,29.46,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:09:19,61.7,66.0,49.84,29.38,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:10:54,61.63,64.68,49.72,29.33,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:11:46,60.89,64.48,49.52,29.46,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:12:29,60.67,63.38,48.89,29.38,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:13:21,61.14,65.62,49.09,29.46,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:14:05,61.63,65.89,48.92,31.04,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:15:39,61.14,66.61,50.04,30.25,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:16:32,60.86,66.39,49.64,30.66,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:17:15,61.14,65.3,49.98,30.4,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:18:51,61.15,66.14,49.91,30.89,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:19:43,61.32,65.62,50.04,30.99,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:20:26,60.26,66.45,49.99,30.83,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:21:18,61.02,66.77,49.95,30.94,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:22:02,61.22,65.02,49.56,30.21,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:23:37,61.1,65.52,49.63,30.57,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:24:29,60.83,67.23,50.16,30.71,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:25:11,61.18,67.18,50.0,29.4,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:26:48,60.48,64.95,49.44,29.45,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:27:40,60.71,64.25,50.07,29.55,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:28:23,61.44,64.51,49.93,30.08,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:29:59,61.87,65.87,49.68,30.25,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:30:50,61.99,65.7,49.74,30.39,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:31:34,61.41,66.86,49.28,30.85,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:32:26,61.14,65.85,49.49,29.18,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:33:08,61.33,64.61,49.75,29.08,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:34:45,61.34,65.17,50.1,30.52,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:35:37,61.14,65.39,49.95,30.94,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:36:20,62.38,65.69,49.54,31.09,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:37:56,60.65,64.61,49.43,30.67,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:38:47,61.44,64.4,49.58,29.18,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:39:31,61.69,64.44,49.88,30.29,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:40:23,61.44,64.71,49.89,30.2,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:41:05,61.27,64.92,49.65,30.12,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:42:41,60.22,65.47,50.2,30.75,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:43:34,61.75,65.78,49.25,30.9,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:44:17,61.45,65.57,49.92,29.96,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:45:53,60.79,64.74,49.93,29.96,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:46:44,60.95,65.39,50.07,29.87,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:47:28,61.97,65.64,50.22,30.02,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:48:20,61.69,63.1,50.01,29.92,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:49:03,61.51,63.36,49.8,29.83,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:50:39,61.86,65.94,49.82,29.22,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:51:30,61.38,66.16,50.01,31.08,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:52:13,61.45,64.89,50.37,29.29,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:53:49,61.52,67.27,49.6,29.27,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:54:41,60.83,67.07,49.4,29.22,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:55:25,61.1,65.71,49.27,29.36,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:56:16,60.83,65.62,49.46,29.55,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:57:00,60.62,65.32,49.87,30.74,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:58:35,61.5,65.35,49.5,29.94,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 03:59:27,61.26,66.84,49.43,29.83,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:00:11,60.96,63.85,49.58,29.98,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:01:46,60.99,63.51,50.12,29.38,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:02:38,60.4,63.25,49.22,29.46,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:03:20,60.61,63.06,49.06,29.36,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:04:56,61.2,64.29,49.49,29.94,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:05:48,61.02,64.09,49.67,29.83,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:06:32,61.26,65.65,49.5,29.98,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:07:24,61.08,66.16,49.67,29.5,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:08:07,60.43,65.99,49.04,30.35,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:09:43,60.14,63.39,50.12,30.31,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:10:34,60.34,63.1,49.77,30.39,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:11:18,60.52,63.6,49.93,29.74,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:12:54,61.21,65.13,50.11,30.72,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:13:45,61.57,66.69,49.89,30.62,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:14:29,61.82,66.48,49.03,30.08,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:15:20,60.4,66.92,49.22,30.2,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:16:04,62.15,66.69,49.44,30.11,12.08
